thermal_demand,electricity_price,co2_price,gas_price
0.129857722,164.13,81.52,78.242
0.135315582,180.5,81.52,78.242
0.146973727,179.26,81.52,78.242
0.159611016,173.99,81.52,78.242
0.167413037,167.34,81.52,78.242
0.16032202,135.61,81.52,78.242
0.145300586,125.05,81.52,78.242
0.11661607,120.9,81.52,78.242
0.08366112,118.08,81.52,78.242
0.078868716,97.16,81.52,78.242
0.072834004,90.05,81.52,74.748
0.075176995,78.94,81.52,74.748
0.079525209,75.05,81.52,74.748
0.092507525,72.13,81.52,74.748
0.125744575,70.99,81.52,74.748
0.168113262,87.7,81.52,74.748
0.185763752,96.26,81.52,74.748
0.174385548,118.95,81.52,74.748
0.156420425,140.51,81.52,74.748
0.142272491,130.27,81.52,74.748
0.130220686,128.47,81.52,74.748
0.121683159,111.95,81.52,74.748
0.117142723,94.15,81.52,74.748
0.115865335,85.54,81.52,74.748
0.117442122,105.37,81.52,74.748
0.12237816,111.32,81.52,74.748
0.132921678,134.86,81.52,74.748
0.144350725,176.05,81.52,74.748
0.151406802,192.74,81.52,74.748
0.144993751,180,81.52,74.748
0.131408505,152.33,81.52,74.748
0.105466495,137.91,81.52,74.748
0.075662343,131.76,81.52,74.748
0.071328137,121.39,81.52,74.748
0.072834004,119.19,81.52,74.4
0.075176995,117.87,81.52,74.4
0.079525209,110.92,81.52,74.4
0.092507525,113.14,81.52,74.4
0.125744575,119.15,81.52,74.4
0.168113262,120.73,81.52,74.4
0.185763752,148.76,81.52,74.4
0.174385548,207.59,81.52,74.4
0.156420425,223.15,81.52,74.4
0.142272491,215.79,81.52,74.4
0.130220686,206.51,81.52,74.4
0.121683159,206.43,83.4,74.4
0.117142723,190,84.03,74.4
0.115865335,170.08,84.03,74.4
0.117442122,169.29,84.03,74.4
0.12237816,190,84.03,74.4
0.132921678,177.44,84.03,74.4
0.144350725,179.99,84.03,74.4
0.151406802,165.05,84.03,74.4
0.144993751,145.81,84.03,74.4
0.131408505,139.73,84.03,74.4
0.105466495,132.25,84.03,74.4
0.075662343,133.59,84.03,74.4
0.071328137,120.01,84.03,74.4
0.096630853,123.58,84.03,79.12
0.099739363,120.3,84.03,79.12
0.105508256,119.99,84.03,79.12
0.122732248,121.8,84.03,79.12
0.166828745,123.57,84.03,79.12
0.223040434,123.68,84.03,79.12
0.24645782,120,84.03,79.12
0.231362047,148.35,84.03,79.12
0.207527229,186,84.03,79.12
0.188756782,207.46,84.03,79.12
0.172767325,211.25,84.03,79.12
0.161440355,209.69,84.03,79.12
0.155416436,200.83,84.03,79.12
0.15372169,188.54,84.03,79.12
0.155813656,185.88,84.03,79.12
0.162362432,196.5,84.03,79.12
0.176350804,197.25,84.03,79.12
0.191514031,222.31,84.03,79.12
0.200875519,230.82,84.03,79.12
0.192367151,214.32,84.03,79.12
0.174343236,207.14,84.03,79.12
0.139925266,190.33,84.03,79.12
0.100383287,193.52,84.03,79.12
0.094632979,175.07,84.03,79.12
0.12371976,171.69,84.03,79.12
0.126329139,183.01,84.03,79.12
0.132122902,185.22,84.03,79.12
0.146540798,179.73,84.03,79.12
0.183134488,179.04,84.03,79.12
0.252008094,179.49,84.03,79.12
0.298184854,168.23,84.03,79.12
0.279195833,172.45,84.03,79.12
0.257828826,184.93,84.03,79.12
0.240060631,195.31,84.03,79.12
0.221433703,195.34,84.03,79.12
0.210736122,195.87,84.03,79.12
0.205089499,195.41,84.03,79.12
0.205209834,186.29,84.03,79.12
0.207773632,184.49,84.03,79.12
0.214078878,190,84.03,79.12
0.225249155,194,84.03,79.12
0.240515952,214.95,84.03,79.12
0.25029018,239.49,84.03,79.12
0.238901368,242.97,84.03,79.12
0.221159505,224.96,84.03,79.12
0.183937935,204.84,84.03,79.12
0.126900231,201,84.03,79.12
0.121386127,179.97,84.03,79.12
0.12371976,183.33,84.03,79.422
0.126329139,179.61,84.03,79.422
0.132122902,178.3,84.03,79.422
0.146540798,177.46,84.03,79.422
0.183134488,177.61,84.03,79.422
0.252008094,187.48,84.03,79.422
0.298184854,225.19,84.03,79.422
0.279195833,265,84.03,79.422
0.257828826,300.02,84.03,79.422
0.240060631,299.39,84.03,79.422
0.221433703,275.88,84.03,79.422
0.210736122,270,84.03,79.422
0.205089499,245.84,84.03,79.422
0.205209834,240.08,84.03,79.422
